498.0000	6.988679E-3
499.0000	7.298357E-3
500.0000	7.655326E-3
501.0000	8.008755E-3
502.0000	8.357283E-3
503.0000	8.719577E-3
504.0000	9.100690E-3
505.0000	9.496504E-3
506.0000	9.912152E-3
507.0000	1.031317E-2
508.0000	1.069472E-2
509.0000	1.109547E-2
510.0000	1.152142E-2
511.0000	1.193616E-2
512.0000	1.233635E-2
513.0000	1.274310E-2
514.0000	1.315823E-2
515.0000	1.355285E-2
516.0000	1.392162E-2
517.0000	1.427893E-2
518.0000	1.462198E-2
519.0000	1.496477E-2
520.0000	1.530721E-2
521.0000	1.559569E-2
522.0000	1.581896E-2
523.0000	1.601009E-2
524.0000	1.616294E-2
525.0000	1.628827E-2
526.0000	1.638130E-2
527.0000	1.641529E-2
528.0000	1.638101E-2
529.0000	1.633268E-2
530.0000	1.626835E-2
531.0000	1.617354E-2
532.0000	1.604453E-2
533.0000	1.591542E-2
534.0000	1.578622E-2
535.0000	1.564751E-2
536.0000	1.549846E-2
537.0000	1.538049E-2
538.0000	1.529585E-2
539.0000	1.519831E-2
540.0000	1.508716E-2
541.0000	1.498494E-2
542.0000	1.489200E-2
543.0000	1.481050E-2
544.0000	1.474070E-2
545.0000	1.466895E-2
546.0000	1.459525E-2
547.0000	1.454265E-2
548.0000	1.451091E-2
549.0000	1.446945E-2
550.0000	1.441856E-2
551.0000	1.438718E-2
552.0000	1.437448E-2
553.0000	1.434982E-2
554.0000	1.431394E-2
555.0000	1.429835E-2
556.0000	1.430154E-2
557.0000	1.430679E-2
558.0000	1.431392E-2
559.0000	1.431947E-2
560.0000	1.432360E-2
561.0000	1.434183E-2
562.0000	1.437243E-2
563.0000	1.439256E-2
564.0000	1.440365E-2
565.0000	1.444117E-2
566.0000	1.450104E-2
567.0000	1.454644E-2
568.0000	1.457981E-2
569.0000	1.462088E-2
570.0000	1.466821E-2
571.0000	1.471252E-2
572.0000	1.475441E-2
573.0000	1.479017E-2
574.0000	1.482112E-2
575.0000	1.487765E-2
576.0000	1.495389E-2
577.0000	1.499798E-2
578.0000	1.501778E-2
579.0000	1.506406E-2
580.0000	1.512996E-2
581.0000	1.517830E-2
582.0000	1.521389E-2
583.0000	1.524073E-2
584.0000	1.526136E-2
585.0000	1.527079E-2
586.0000	1.527242E-2
587.0000	1.530103E-2
588.0000	1.534807E-2
589.0000	1.537066E-2
590.0000	1.537690E-2
591.0000	1.540618E-2
592.0000	1.545055E-2
593.0000	1.545487E-2
594.0000	1.543349E-2
595.0000	1.540713E-2
596.0000	1.537764E-2
597.0000	1.535929E-2
598.0000	1.534778E-2
599.0000	1.531653E-2
600.0000	1.527343E-2
601.0000	1.522999E-2
602.0000	1.518635E-2
603.0000	1.511941E-2
604.0000	1.503912E-2
605.0000	1.497438E-2
606.0000	1.491836E-2
607.0000	1.482722E-2
608.0000	1.471685E-2
609.0000	1.461789E-2
610.0000	1.452502E-2
611.0000	1.443563E-2
612.0000	1.434805E-2
613.0000	1.423291E-2
614.0000	1.410375E-2
615.0000	1.398204E-2
616.0000	1.386403E-2
617.0000	1.375578E-2
618.0000	1.365225E-2
619.0000	1.351480E-2
620.0000	1.336137E-2
621.0000	1.320895E-2
622.0000	1.305700E-2
623.0000	1.288483E-2
624.0000	1.270362E-2
625.0000	1.254665E-2
626.0000	1.240022E-2
627.0000	1.222034E-2
628.0000	1.202632E-2
629.0000	1.186898E-2
630.0000	1.172670E-2
631.0000	1.154444E-2
632.0000	1.134623E-2
633.0000	1.116070E-2
634.0000	1.098008E-2
635.0000	1.080299E-2
636.0000	1.062722E-2
637.0000	1.044394E-2
638.0000	1.025792E-2
639.0000	1.006371E-2
640.0000	9.866602E-3
641.0000	9.682058E-3
642.0000	9.501812E-3
643.0000	9.309784E-3
644.0000	9.113854E-3
645.0000	8.957159E-3
646.0000	8.813020E-3
647.0000	8.629106E-3
648.0000	8.432897E-3
649.0000	8.285302E-3
650.0000	8.152215E-3
651.0000	7.992663E-3
652.0000	7.825497E-3
653.0000	7.692870E-3
654.0000	7.569821E-3
655.0000	7.401895E-3
656.0000	7.221999E-3
657.0000	7.040501E-3
658.0000	6.858594E-3
659.0000	6.669377E-3
660.0000	6.478362E-3
661.0000	6.314015E-3
662.0000	6.155957E-3
663.0000	5.992166E-3
664.0000	5.827080E-3
665.0000	5.680249E-3
666.0000	5.537357E-3
667.0000	5.444978E-3
668.0000	5.363002E-3
669.0000	5.215006E-3
670.0000	5.054052E-3
671.0000	4.918186E-3
672.0000	4.786997E-3
673.0000	4.643727E-3
674.0000	4.498320E-3
675.0000	4.447135E-3
676.0000	4.411729E-3
677.0000	4.267347E-3
678.0000	4.105742E-3
679.0000	3.962670E-3
680.0000	3.822354E-3
681.0000	3.723489E-3
682.0000	3.630404E-3
683.0000	3.514999E-3
684.0000	3.396683E-3
685.0000	3.287834E-3
686.0000	3.180135E-3
687.0000	3.148297E-3
688.0000	3.124989E-3
689.0000	2.998727E-3
690.0000	2.861798E-3
691.0000	2.769850E-3
692.0000	2.682164E-3
693.0000	2.581380E-3
694.0000	2.479469E-3
695.0000	2.410689E-3
696.0000	2.344480E-3
697.0000	2.298611E-3
698.0000	2.254146E-3
699.0000	2.187744E-3
700.0000	2.120012E-3
701.0000	2.109336E-3
702.0000	2.101642E-3
703.0000	2.076605E-3
704.0000	2.050806E-3
705.0000	1.913239E-3
706.0000	1.771666E-3
707.0000	1.750220E-3
708.0000	1.732112E-3
709.0000	1.633282E-3
710.0000	1.532853E-3
711.0000	1.555482E-3
712.0000	1.579570E-3
713.0000	1.544054E-3
714.0000	1.507990E-3
715.0000	1.391653E-3
716.0000	1.276872E-3
717.0000	1.293252E-3
718.0000	1.308035E-3
719.0000	1.243129E-3
720.0000	1.178708E-3
721.0000	1.131468E-3
722.0000	1.084628E-3
723.0000	1.048717E-3
724.0000	1.011637E-3
725.0000	9.487323E-4
726.0000	8.903050E-4
727.0000	9.145188E-4
728.0000	9.342505E-4
729.0000	8.831468E-4
730.0000	8.324141E-4
731.0000	7.867899E-4
732.0000	7.515767E-4
733.0000	8.431773E-4
734.0000	9.217927E-4
735.0000	8.590043E-4
736.0000	8.042785E-4
737.0000	8.288006E-4
738.0000	8.439162E-4
739.0000	7.749779E-4
740.0000	7.061182E-4
741.0000	6.379027E-4
742.0000	5.792805E-4
743.0000	5.928437E-4
744.0000	5.943373E-4
745.0000	5.119990E-4
746.0000	4.558793E-4
747.0000	5.688880E-4
748.0000	6.561977E-4
749.0000	5.893458E-4
750.0000	5.350375E-4
751.0000	5.510217E-4
752.0000	5.792356E-4
753.0000	6.716395E-4
754.0000	7.200692E-4
755.0000	5.516208E-4
756.0000	4.155153E-4
757.0000	4.294154E-4
758.0000	4.242381E-4
759.0000	3.356244E-4
760.0000	2.814703E-4
761.0000	3.697315E-4
762.0000	4.250909E-4
763.0000	3.518104E-4
764.0000	2.951567E-4
765.0000	3.000661E-4
766.0000	3.067205E-4
767.0000	3.195086E-4
768.0000	3.338237E-4
769.0000	3.532370E-4
770.0000	3.713890E-4
771.0000	3.855376E-4
772.0000	3.912469E-4
773.0000	3.714399E-4
774.0000	3.646876E-4
775.0000	3.955414E-4
776.0000	3.565205E-4
777.0000	1.254005E-4
778.0000	-4.226259E-5
779.0000	-4.346723E-5
780.0000	1.708870E-5
781.0000	2.324691E-4
782.0000	3.120246E-4
783.0000	6.600013E-5
784.0000	-8.877770E-5
785.0000	-3.442357E-5
786.0000	2.920748E-6
787.0000	2.949595E-6
788.0000	8.069478E-5
789.0000	3.216972E-4
790.0000	4.936642E-4
791.0000	5.267480E-4
792.0000	4.544446E-4
793.0000	1.788646E-4
794.0000	0.000000E+0
795.0000	0.000000E+0
796.0000	-9.736723E-6
797.0000	-3.674764E-5
798.0000	-5.461618E-5
799.0000	-5.692987E-5
800.0000	-4.722662E-5
801.0000	-1.790194E-5
802.0000	0.000000E+0
803.0000	0.000000E+0
804.0000	6.935581E-7
805.0000	2.430529E-6
806.0000	3.470665E-6
807.0000	3.504378E-6
808.0000	2.782212E-6
809.0000	1.011419E-6
810.0000	0.000000E+0
811.0000	0.000000E+0
812.0000	0.000000E+0
813.0000	0.000000E+0
814.0000	0.000000E+0
815.0000	0.000000E+0
816.0000	0.000000E+0
817.0000	0.000000E+0
818.0000	0.000000E+0
819.0000	0.000000E+0
820.0000	0.000000E+0
821.0000	0.000000E+0
822.0000	0.000000E+0
823.0000	0.000000E+0
824.0000	0.000000E+0
825.0000	0.000000E+0
826.0000	0.000000E+0
827.0000	0.000000E+0
828.0000	0.000000E+0
829.0000	0.000000E+0
830.0000	0.000000E+0
 	 
time / ms	integral progression / lx
0.000000E+0	1.930421E+3
2.000000E-2	2.004358E+3
4.000000E-2	2.031244E+3
6.000000E-2	2.040654E+3
8.000000E-2	2.043342E+3
1.000000E-1	2.040654E+3
1.200000E-1	2.035277E+3
1.400000E-1	2.028555E+3
1.600000E-1	2.024522E+3
1.800000E-1	2.021834E+3
2.000000E-1	2.021834E+3
2.200000E-1	2.023178E+3
2.400000E-1	2.021834E+3
2.600000E-1	2.021834E+3
2.800000E-1	2.019145E+3
3.000000E-1	1.990915E+3
3.200000E-1	1.916978E+3
3.400000E-1	1.830942E+3
3.600000E-1	1.771793E+3
3.800000E-1	1.742218E+3
4.000000E-1	1.728775E+3
4.200000E-1	1.684413E+3
4.400000E-1	1.450504E+3
4.600000E-1	9.813421E+2
4.800000E-1	5.229343E+2
5.000000E-1	2.339089E+2
5.200000E-1	9.410130E+1
5.400000E-1	3.629622E+1
5.600000E-1	1.478735E+1
5.800000E-1	6.721521E+0
6.000000E-1	4.032913E+0
6.200000E-1	2.688608E+0
6.400000E-1	1.344304E+0
6.600000E-1	0.000000E+0
6.800000E-1	1.344304E+0
7.000000E-1	1.344304E+0
7.200000E-1	1.344304E+0
7.400000E-1	1.344304E+0
7.600000E-1	1.344304E+0
7.800000E-1	1.344304E+0
8.000000E-1	0.000000E+0
8.200000E-1	0.000000E+0
8.400000E-1	0.000000E+0
8.600000E-1	0.000000E+0
8.800000E-1	2.688608E+0
9.000000E-1	3.360760E+1
9.200000E-1	2.621393E+2
9.400000E-1	7.985167E+2
9.600000E-1	1.376568E+3
9.800000E-1	1.748940E+3
1.000000E+0	1.930421E+3
1.020000E+0	2.003013E+3
1.040000E+0	2.031244E+3
1.060000E+0	2.040654E+3
1.080000E+0	2.043342E+3
1.100000E+0	2.040654E+3
1.120000E+0	2.033932E+3
1.140000E+0	2.028555E+3
1.160000E+0	2.024522E+3
1.180000E+0	2.023178E+3
1.200000E+0	2.023178E+3
1.220000E+0	2.023178E+3
1.240000E+0	2.023178E+3
1.260000E+0	2.021834E+3
1.280000E+0	2.019145E+3
1.300000E+0	1.990915E+3
1.320000E+0	1.918322E+3
1.340000E+0	1.830942E+3
1.360000E+0	1.771793E+3
1.380000E+0	1.742218E+3
1.400000E+0	1.730120E+3
1.420000E+0	1.687102E+3
1.440000E+0	1.454537E+3
1.460000E+0	9.853750E+2
1.480000E+0	5.256229E+2
1.500000E+0	2.352532E+2
1.520000E+0	9.544560E+1
1.540000E+0	3.629622E+1
1.560000E+0	1.478735E+1
1.580000E+0	6.721521E+0
1.600000E+0	5.377217E+0
1.620000E+0	2.688608E+0
1.640000E+0	2.688608E+0
1.660000E+0	1.344304E+0
1.680000E+0	0.000000E+0
1.700000E+0	0.000000E+0
1.720000E+0	1.344304E+0
1.740000E+0	1.344304E+0
1.760000E+0	1.344304E+0
1.780000E+0	0.000000E+0
1.800000E+0	1.344304E+0
1.820000E+0	1.344304E+0
1.840000E+0	1.344304E+0
1.860000E+0	0.000000E+0
1.880000E+0	1.344304E+0
1.900000E+0	3.226330E+1
1.920000E+0	2.621393E+2
1.940000E+0	7.971724E+2
1.960000E+0	1.376568E+3
1.980000E+0	1.750284E+3
2.000000E+0	1.930421E+3
2.020000E+0	2.003013E+3
2.040000E+0	2.029899E+3
2.060000E+0	2.040654E+3
2.080000E+0	2.043342E+3
2.100000E+0	2.040654E+3
2.120000E+0	2.035277E+3
2.140000E+0	2.028555E+3
2.160000E+0	2.025866E+3
2.180000E+0	2.023178E+3
2.200000E+0	2.021834E+3
2.220000E+0	2.020489E+3
2.240000E+0	2.021834E+3
2.260000E+0	2.020489E+3
2.280000E+0	2.017801E+3
2.300000E+0	1.989570E+3
2.320000E+0	1.916978E+3
2.340000E+0	1.830942E+3
2.360000E+0	1.773137E+3
2.380000E+0	1.743563E+3
2.400000E+0	1.730120E+3
2.420000E+0	1.687102E+3
2.440000E+0	1.454537E+3
2.460000E+0	9.853750E+2
2.480000E+0	5.256229E+2
2.500000E+0	2.352532E+2
2.520000E+0	9.410130E+1
2.540000E+0	3.629622E+1
2.560000E+0	1.478735E+1
2.580000E+0	6.721521E+0
2.600000E+0	4.032913E+0
2.620000E+0	2.688608E+0
2.640000E+0	1.344304E+0
2.660000E+0	1.344304E+0
2.680000E+0	2.688608E+0
2.700000E+0	1.344304E+0
2.720000E+0	1.344304E+0
2.740000E+0	1.344304E+0
2.760000E+0	0.000000E+0
2.780000E+0	1.344304E+0
2.800000E+0	1.344304E+0
2.820000E+0	1.344304E+0
2.840000E+0	0.000000E+0
2.860000E+0	0.000000E+0
2.880000E+0	1.344304E+0
2.900000E+0	3.226330E+1
2.920000E+0	2.594507E+2
2.940000E+0	7.958281E+2
2.960000E+0	1.375223E+3
2.980000E+0	1.748940E+3
3.000000E+0	1.929077E+3
3.020000E+0	2.003013E+3
3.040000E+0	2.029899E+3
3.060000E+0	2.039310E+3
3.080000E+0	2.043342E+3
3.100000E+0	2.040654E+3
3.120000E+0	2.035277E+3
3.140000E+0	2.028555E+3
3.160000E+0	2.024522E+3
3.180000E+0	2.023178E+3
3.200000E+0	2.021834E+3
3.220000E+0	2.021834E+3
3.240000E+0	2.023178E+3
3.260000E+0	2.021834E+3
3.280000E+0	2.017801E+3
3.300000E+0	1.989570E+3
3.320000E+0	1.916978E+3
3.340000E+0	1.830942E+3
3.360000E+0	1.771793E+3
3.380000E+0	1.742218E+3
3.400000E+0	1.728775E+3
3.420000E+0	1.687102E+3
3.440000E+0	1.455881E+3
3.460000E+0	9.867193E+2
3.480000E+0	5.269673E+2
3.500000E+0	2.365975E+2
3.520000E+0	9.544560E+1
3.540000E+0	3.629622E+1
3.560000E+0	1.344304E+1
3.580000E+0	6.721521E+0
3.600000E+0	4.032913E+0
3.620000E+0	2.688608E+0
3.640000E+0	2.688608E+0
3.660000E+0	1.344304E+0
3.680000E+0	1.344304E+0
3.700000E+0	1.344304E+0
3.720000E+0	1.344304E+0
3.740000E+0	1.344304E+0
3.760000E+0	0.000000E+0
3.780000E+0	0.000000E+0
3.800000E+0	0.000000E+0
3.820000E+0	0.000000E+0
3.840000E+0	0.000000E+0
3.860000E+0	0.000000E+0
3.880000E+0	1.344304E+0
3.900000E+0	3.226330E+1
3.920000E+0	2.594507E+2
3.940000E+0	7.944838E+2
3.960000E+0	1.373879E+3
3.980000E+0	1.747595E+3
4.000000E+0	1.929077E+3
4.020000E+0	2.001669E+3
4.040000E+0	2.029899E+3
4.060000E+0	2.039310E+3
4.080000E+0	2.043342E+3
4.100000E+0	2.040654E+3
4.120000E+0	2.035277E+3
4.140000E+0	2.028555E+3
4.160000E+0	2.024522E+3
4.180000E+0	2.023178E+3
4.200000E+0	2.023178E+3
4.220000E+0	2.021834E+3
4.240000E+0	2.021834E+3
4.260000E+0	2.021834E+3
4.280000E+0	2.017801E+3
4.300000E+0	1.989570E+3
4.320000E+0	1.916978E+3
4.340000E+0	1.830942E+3
4.360000E+0	1.771793E+3
4.380000E+0	1.742218E+3
4.400000E+0	1.728775E+3
4.420000E+0	1.687102E+3
4.440000E+0	1.455881E+3
4.460000E+0	9.880636E+2
4.480000E+0	5.269673E+2
4.500000E+0	2.365975E+2
4.520000E+0	9.544560E+1
4.540000E+0	3.629622E+1
4.560000E+0	1.478735E+1
4.580000E+0	6.721521E+0
4.600000E+0	4.032913E+0
4.620000E+0	2.688608E+0
4.640000E+0	1.344304E+0
4.660000E+0	0.000000E+0
4.680000E+0	0.000000E+0
4.700000E+0	1.344304E+0
4.720000E+0	1.344304E+0
4.740000E+0	1.344304E+0
4.760000E+0	1.344304E+0
4.780000E+0	1.344304E+0
4.800000E+0	1.344304E+0
4.820000E+0	1.344304E+0
4.840000E+0	1.344304E+0
4.860000E+0	1.344304E+0
4.880000E+0	1.344304E+0
4.900000E+0	3.226330E+1
4.920000E+0	2.581064E+2
4.940000E+0	7.917952E+2
4.960000E+0	1.371190E+3
4.980000E+0	1.746251E+3
5.000000E+0	1.927732E+3
5.020000E+0	2.001669E+3
5.040000E+0	2.029899E+3
5.060000E+0	2.039310E+3
5.080000E+0	2.041998E+3
5.100000E+0	2.039310E+3
5.120000E+0	2.033932E+3
5.140000E+0	2.028555E+3
5.160000E+0	2.024522E+3
5.180000E+0	2.021834E+3
5.200000E+0	2.021834E+3
5.220000E+0	2.021834E+3
5.240000E+0	2.020489E+3
5.260000E+0	2.020489E+3
5.280000E+0	2.017801E+3
5.300000E+0	1.990915E+3
5.320000E+0	1.916978E+3
5.340000E+0	1.829598E+3
5.360000E+0	1.770449E+3
5.380000E+0	1.740874E+3
5.400000E+0	1.727431E+3
5.420000E+0	1.685757E+3
5.440000E+0	1.457226E+3
5.460000E+0	9.907522E+2
5.480000E+0	5.296559E+2
5.500000E+0	2.379418E+2
5.520000E+0	9.544560E+1
5.540000E+0	3.764052E+1
5.560000E+0	1.613165E+1
5.580000E+0	6.721521E+0
5.600000E+0	4.032913E+0
5.620000E+0	2.688608E+0
5.640000E+0	1.344304E+0
5.660000E+0	1.344304E+0
5.680000E+0	1.344304E+0
5.700000E+0	1.344304E+0
5.720000E+0	1.344304E+0
5.740000E+0	0.000000E+0
5.760000E+0	1.344304E+0
5.780000E+0	0.000000E+0
5.800000E+0	1.344304E+0
5.820000E+0	1.344304E+0
5.840000E+0	0.000000E+0
5.860000E+0	0.000000E+0
5.880000E+0	1.344304E+0
5.900000E+0	3.226330E+1
5.920000E+0	2.581064E+2
5.940000E+0	7.904509E+2
5.960000E+0	1.371190E+3
5.980000E+0	1.744907E+3
6.000000E+0	1.926388E+3
6.020000E+0	2.001669E+3
6.040000E+0	2.029899E+3
6.060000E+0	2.039310E+3
6.080000E+0	2.043342E+3
6.100000E+0	2.040654E+3
6.120000E+0	2.033932E+3
6.140000E+0	2.027211E+3
6.160000E+0	2.024522E+3
6.180000E+0	2.021834E+3
6.200000E+0	2.021834E+3
6.220000E+0	2.020489E+3
6.240000E+0	2.020489E+3
6.260000E+0	2.020489E+3
6.280000E+0	2.017801E+3
6.300000E+0	1.989570E+3
6.320000E+0	1.916978E+3
6.340000E+0	1.830942E+3
6.360000E+0	1.771793E+3
6.380000E+0	1.742218E+3
6.400000E+0	1.727431E+3
6.420000E+0	1.685757E+3
6.440000E+0	1.457226E+3
6.460000E+0	9.907522E+2
6.480000E+0	5.296559E+2
6.500000E+0	2.379418E+2
6.520000E+0	9.544560E+1
6.540000E+0	3.629622E+1
6.560000E+0	1.478735E+1
6.580000E+0	6.721521E+0
6.600000E+0	4.032913E+0
6.620000E+0	1.344304E+0
6.640000E+0	1.344304E+0
6.660000E+0	0.000000E+0
6.680000E+0	0.000000E+0
6.700000E+0	1.344304E+0
6.720000E+0	1.344304E+0
6.740000E+0	1.344304E+0
6.760000E+0	0.000000E+0
6.780000E+0	0.000000E+0
6.800000E+0	1.344304E+0
6.820000E+0	1.344304E+0
6.840000E+0	1.344304E+0
6.860000E+0	0.000000E+0
6.880000E+0	0.000000E+0
6.900000E+0	3.091900E+1
